frame,vehicle_id,vehicle_type,detected,plate_detected,plate_text,individual_toll,total_toll
2356,86,Car,True,True,AEJ-108,500,3500
2357,86,Car,True,True,AEJ-108,500,3500
2358,86,Car,True,True,AEJ-108,500,3500
2359,86,Car,True,True,AEJ-108,500,3500
2360,86,Car,True,True,AEJ-108,500,3500
2361,86,Car,True,True,AEJ-108,500,3500
2362,86,Car,True,True,AEJ-108,500,3500
2363,86,Car,True,True,AEJ-108,500,3500
2364,86,Car,True,True,AEJ-108,500,3500
2365,86,Car,True,True,AEJ-108,500,3500
2366,86,Car,True,True,AEJ-108,500,3500
2367,86,Car,True,True,AEJ-108,500,3500
2368,86,Car,True,True,AEJ-108,500,3500
2369,86,Car,True,True,AEJ-108,500,3500
2370,86,Car,True,True,AEJ-108,500,3500
2371,86,Car,True,True,AEJ-108,500,4000
2372,86,Car,True,True,AEJ-108,500,4000
2373,86,Car,True,True,AEJ-108,500,4000
2374,86,Car,True,True,AEJ-108,500,4000
2375,86,Car,True,True,AEJ-108,500,4000
2376,86,Car,True,True,AEJ-108,500,4000
2377,86,Car,True,True,AEJ-108,500,4000
2378,86,Car,True,True,AEJ-108,500,4000
2379,86,Car,True,True,AEJ-108,500,4000
2380,86,Car,True,True,AEJ-108,500,4000
2381,86,Car,True,True,AEJ-108,500,4000
2382,86,Car,True,True,AEJ-108,500,4000
2383,86,Car,True,True,AEJ-108,500,4000
2384,86,Car,True,True,AEJ-108,500,4000
2385,86,Car,True,True,AEJ-108,500,4000
2386,86,Car,True,True,AEJ-108,500,4000
2387,86,Car,True,True,AEJ-108,500,4000
2388,86,Car,True,True,AEJ-108,500,4000
2389,86,Car,True,True,AEJ-108,500,4000
2390,86,Car,True,True,AEJ-108,500,4000
2391,86,Car,True,True,AEJ-108,500,4000
2392,86,Car,True,True,AEJ-108,500,4000
2393,86,Car,True,True,AEJ-108,500,4000
2394,86,Car,True,True,AEJ-108,500,4000
2395,86,Car,True,True,AEJ-108,500,4000
2396,86,Car,True,True,AEJ-108,500,4000
2397,86,Car,True,True,AEJ-108,500,4000
2398,86,Car,True,True,AEJ-108,500,4000
2399,86,Car,True,True,AEJ-108,500,4000
2400,86,Car,True,True,AEJ-108,500,4000
2401,86,Car,True,True,AEJ-108,500,4000
2402,86,Car,True,True,AEJ-108,500,4000
2403,86,Car,True,True,AEJ-108,500,4000
2404,86,Car,True,True,AEJ-108,500,4000
2405,86,Car,True,True,AEJ-108,500,4000
2406,86,Car,True,True,AEJ-108,500,4000
2407,86,Car,True,True,AEJ-108,500,4000
2408,86,Car,True,True,AEJ-108,500,4000
2409,86,Car,True,True,AEJ-108,500,4000
2410,86,Car,True,True,AEJ-108,500,4000
2411,86,Car,True,True,AEJ-108,500,4000
2412,86,Car,True,True,AEJ-108,500,4000
2413,86,Car,True,True,AEJ-108,500,4000
